date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:10	67/67	---M--	200	added ('OK')	text/plain	date:Sat,%2004%20Jul%202020%2012:45:10%20GMT	http://datawarna.com/robots.txt		(from )
19:45:10	29523/29523	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jul%202020%2012:45:10%20GMT	http://datawarna.com/	D:/Website/data%20warna%20home/datawarna.com/index.html	(from )
19:45:11	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2004%20Jul%202020%2012:45:11%20GMT	http://datawarna.com/xmlrpc.php	D:/Website/data%20warna%20home/datawarna.com/xmlrpc.php	(from http://datawarna.com/)
19:45:12	877/877	---M-Z	200	added ('OK')	application/rss+xml	etag:%22624f3d0cfe060f3dd5cbd15cb7ca7670-gzip%22	http://datawarna.com/feed/	D:/Website/data%20warna%20home/datawarna.com/feed/index.html	(from http://datawarna.com/)
19:45:12	773/773	---M-Z	200	added ('OK')	application/rss+xml	etag:%22470c6d2e687bb57618a85d9881ca1f90-gzip%22	http://datawarna.com/comments/feed/	D:/Website/data%20warna%20home/datawarna.com/comments/feed/index.html	(from http://datawarna.com/)
19:45:12	53593/53593	---MCZ	200	added ('OK')	text/css	etag:W/%225eaa1d88-d159%22	http://datawarna.com/wp-includes/css/dist/block-library/style.min.css?ver=5.4.2	D:/Website/data%20warna%20home/datawarna.com/wp-includes/css/dist/block-library/style.min7661.css	(from http://datawarna.com/)
19:45:13	3388/3388	---MCZ	200	added ('OK')	text/css	etag:W/%225c6c38b5-d3c%22	http://datawarna.com/wp-content/themes/frontier/responsive.css?ver=1.3.3	D:/Website/data%20warna%20home/datawarna.com/wp-content/themes/frontier/responsive3ba1.css	(from http://datawarna.com/)
19:45:13	26075/26075	---MCZ	200	added ('OK')	text/css	etag:W/%225c6c38b5-65db%22	http://datawarna.com/wp-content/themes/frontier/style.css?ver=1.3.3	D:/Website/data%20warna%20home/datawarna.com/wp-content/themes/frontier/style3ba1.css	(from http://datawarna.com/)
19:45:15	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%22573eaa90-2748%22	http://datawarna.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	D:/Website/data%20warna%20home/datawarna.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://datawarna.com/)
19:45:15	786/786	---M-Z	200	added ('OK')	text/xml	date:Sat,%2004%20Jul%202020%2012:45:15%20GMT	http://datawarna.com/xmlrpc.php?rsd	D:/Website/data%20warna%20home/datawarna.com/xmlrpc0db0.php	(from http://datawarna.com/)
19:45:17	28273/28273	---MCZ	200	added ('OK')	text/css	etag:W/%225c6c38b5-6e71%22	http://datawarna.com/wp-content/themes/frontier/includes/genericons/genericons.css?ver=1.3.3	D:/Website/data%20warna%20home/datawarna.com/wp-content/themes/frontier/includes/genericons/genericons3ba1.css	(from http://datawarna.com/)
19:45:17	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0-gzip%22	http://datawarna.com/wp-includes/wlwmanifest.xml	D:/Website/data%20warna%20home/datawarna.com/wp-includes/wlwmanifest.xml	(from http://datawarna.com/)
19:45:17	79346/79346	---MCZ	200	added ('OK')	application/json	date:Sat,%2004%20Jul%202020%2012:45:17%20GMT	http://datawarna.com/wp-json/	D:/Website/data%20warna%20home/datawarna.com/wp-json/index.html	(from http://datawarna.com/)
19:45:18	2246/2246	---MCZ	200	added ('OK')	application/json	date:Sat,%2004%20Jul%202020%2012:45:18%20GMT	http://datawarna.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdatawarna.com%2F	D:/Website/data%20warna%20home/datawarna.com/wp-json/oembed/1.0/embed2b29.json	(from http://datawarna.com/)
19:45:18	2340/2340	---M-Z	200	added ('OK')	text/xml	date:Sat,%2004%20Jul%202020%2012:45:18%20GMT	http://datawarna.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdatawarna.com%2F&format=xml	D:/Website/data%20warna%20home/datawarna.com/wp-json/oembed/1.0/embed2c05	(from http://datawarna.com/)
19:45:18	96873/96873	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cdeeaa5-17a69%22	http://datawarna.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	D:/Website/data%20warna%20home/datawarna.com/wp-includes/js/jquery/jquery4a5f.js	(from http://datawarna.com/)
19:45:19	357399/357399	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jul%202020%2012:45:18%20GMT	http://datawarna.com/sydney-pools-6d/	D:/Website/data%20warna%20home/datawarna.com/sydney-pools-6d/index.html	(from http://datawarna.com/)
19:45:19	412724/412724	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jul%202020%2012:45:19%20GMT	http://datawarna.com/paito-warna-hongkong-6d/	D:/Website/data%20warna%20home/datawarna.com/paito-warna-hongkong-6d/index.html	(from http://datawarna.com/)
19:45:21	304082/304082	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jul%202020%2012:45:20%20GMT	http://datawarna.com/hongkong/	D:/Website/data%20warna%20home/datawarna.com/hongkong/index.html	(from http://datawarna.com/)
19:45:21	228331/228331	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jul%202020%2012:45:20%20GMT	http://datawarna.com/singapore/	D:/Website/data%20warna%20home/datawarna.com/singapore/index.html	(from http://datawarna.com/)
19:45:22	43/43	---M--	200	added ('OK')	image/gif	date:Sat,%2004%20Jul%202020%2012:45:22%20GMT	http://sstatic1.histats.com/0.gif?4380462&101	D:/Website/data%20warna%20home/sstatic1.histats.com/09925.gif	(from http://datawarna.com/)
19:45:22	264821/264821	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jul%202020%2012:45:22%20GMT	http://datawarna.com/sydney/	D:/Website/data%20warna%20home/datawarna.com/sydney/index.html	(from http://datawarna.com/)
19:45:22	11440/11440	---M-Z	200	added ('OK')	text/javascript	etag:%22-375139978%22	http://s10.histats.com/js15_as.js	D:/Website/data%20warna%20home/s10.histats.com/js15_as.js	(from http://datawarna.com/)
19:45:23	111064/111064	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jul%202020%2012:45:23%20GMT	http://datawarna.com/adelaide-day/	D:/Website/data%20warna%20home/datawarna.com/adelaide-day/index.html	(from http://datawarna.com/)
19:45:24	110954/110954	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jul%202020%2012:45:23%20GMT	http://datawarna.com/adelaide-night/	D:/Website/data%20warna%20home/datawarna.com/adelaide-night/index.html	(from http://datawarna.com/)
19:45:24	111116/111116	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jul%202020%2012:45:23%20GMT	http://datawarna.com/arkansas-evening/	D:/Website/data%20warna%20home/datawarna.com/arkansas-evening/index.html	(from http://datawarna.com/)
19:45:25	100690/100690	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jul%202020%2012:45:25%20GMT	http://datawarna.com/arkansas-midday/	D:/Website/data%20warna%20home/datawarna.com/arkansas-midday/index.html	(from http://datawarna.com/)
19:45:25	1434/1434	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e88ef0a-59a%22	http://datawarna.com/wp-includes/js/wp-embed.min.js?ver=5.4.2	D:/Website/data%20warna%20home/datawarna.com/wp-includes/js/wp-embed.min7661.js	(from http://datawarna.com/)
19:45:25	92353/92353	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jul%202020%2012:45:25%20GMT	http://datawarna.com/bonoloto/	D:/Website/data%20warna%20home/datawarna.com/bonoloto/index.html	(from http://datawarna.com/)
19:45:26	111064/111064	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jul%202020%2012:45:26%20GMT	http://datawarna.com/brisbane-day/	D:/Website/data%20warna%20home/datawarna.com/brisbane-day/index.html	(from http://datawarna.com/)
19:45:27	110954/110954	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jul%202020%2012:45:26%20GMT	http://datawarna.com/brisbane-night/	D:/Website/data%20warna%20home/datawarna.com/brisbane-night/index.html	(from http://datawarna.com/)
